MaYTe,HoTen,MaDoiTuong,GioiTinh,NgaySinh,SoBHYT,BHTuNgay,BHDenNgay,DiaChi,SoDienThoai
BN0001,Trần Văn A,DT01,Nam,03/09/1965,TE29084265562376,01/01/2025,31/12/2025,"Ngõ 12, Thị trấn Vĩnh An, TP Đà Nẵng",0811479853
BN0002,Đặng Thu Thảo,DT03,Nữ,12/02/1975,CN52003387926811,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, TP HCM",0848746698
BN0003,Hoàng Xuân Bách,DT01,Nam,16/03/1986,GD22089610899569,01/01/2025,31/12/2025,"Đường 3/2, Phường Dương Đông, TP Hà Nội",0871048143
BN0004,Vũ Thanh Vân,DT03,Nữ,27/12/2012,GD15072384485320,01/01/2025,31/12/2025,"Khu Phố 5, Phường Lê Lợi, TP Hà Nội",0884877807
BN0005,Đặng Thanh Vân,DT02,Nữ,23/09/1954,,,,"Ngõ 12, Phường Dương Đông, TP Hà Nội",0322305989
BN0006,Hoàng Anh Tuấn,DT02,Nam,21/09/1946,,,,"Khu Phố 5, Xã Hòa Bắc, TP Hà Nội",0326527688
BN0007,Đặng Thị Bích C,DT01,Nữ,15/05/1979,QN52049940628425,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, TP Hà Nội",0896090934
BN0008,Đỗ Minh Hùng,DT01,Nam,22/05/1989,BT95017501669817,11/05/2025,10/05/2026,"Ngõ 12, Xã Hòa Bắc, TP Đà Nẵng",0939810783
BN0009,Vũ Thanh Dũng,DT01,Nam,16/03/1991,QN58050257951502,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, Tỉnh Đồng Nai",0726245338
BN0010,Hoàng Mỹ Linh,DT01,Nữ,10/01/1987,GD60061948048026,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, Tỉnh Hưng Yên",0726769921
BN0011,Hoàng Kim F,DT01,Nữ,15/07/1975,BT11005808308555,12/09/2025,11/09/2026,"A2, Phường Lê Lợi, TP Hà Nội",0324974125
